,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE 16. WOMEN'S ECONOMIC EMPOWERMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,Social Institutions and Gender Index (SIGI)                   2019,Legal frameworks on gender equality in employment        2018  ,"Maternity leave benefits
2018","Paternity leave benefits
2018","Demand for family planning satisfied with modern methods (%) 
2013?2018*",,"Educational attainment 
2010?2017*",,,,"Labour force participation rate
2010?2018*",,,,,,,,,,,,"Unemployment rate
2010?2018*",,,,,,,,,,,,"Mobile phone ownership
2014?2017*",,,,"Financial inclusion 
2014?2017*",,
,,,,,,,,upper secondary,,,,male,,,,,,female,,,,,,male,,,,,,female,,,,,,,,,,,,
,,,,,,,,male,,female,,rural,,urban,,total ,,rural,,urban,,total,,rural,,urban,,total,,rural,,urban,,total,,male,,female,,male,female,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Very high,?,No,Yes,42,,?,,?,,74,,71,,73,,23,,16,,21,,10,,12,,10,,9,,36,,14,,?,,?,,23,7,
,Albania,Low,0.7,Yes,Yes,5,,46,,44,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,42,38,
,Algeria,?,?,Yes,Yes,77,,28,x,23,x,65,,57,,60,,10,,15,,13,,?,,?,,?,,?,,?,,?,,?,,?,,56,29,
,Andorra,?,?,?,?,–,,48,,47,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Angola,?,?,No,No,30,,20,,12,,89,,73,,80,,90,,63,,75,,2,,12,,7,,1,,15,,8,,78,,80,,36,22,
,Anguilla,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Antigua and Barbuda,?,?,No,No,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Argentina,?,?,No,Yes,–,,40,x,44,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,46,51,
,Armenia,Low,0.8,Yes,No,37,,92,,92,,74,,68,,71,,61,,48,,53,,8,,25,,18,,7,,25,,17,,?,,?,,56,41,
,Australia,Very low,1.0,Yes,Yes,–,,78,,75,,67,,72,,71,,57,,61,,60,,?,,?,,?,,?,,?,,?,,?,,?,,100,99,
,Austria,Very low,?,Yes,No,–,,86,,73,,67,,67,,67,,57,,55,,56,,2,,7,,5,,3,,6,,5,,?,,?,,98,98,
,Azerbaijan,Low,?,Yes,No,22,x,92,,85,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,88,,80,,29,28,
,Bahamas,?,?,?,?,–,,81,x,82,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Bahrain,?,?,No,Yes,–,,39,,47,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,100,,100,,86,75,
,Bangladesh,Very high,0.2,Yes,No,73,,34,,24,,80,,81,,81,,39,,31,,36,,3,,3,,3,,6,,9,,7,,54,,31,,65,36,
,Barbados,?,0.4,No,No,70,x,23,x,25,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Belarus,Low,0.5,Yes,No,74,x,88,x,82,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,91,,95,,81,81,
,Belgium,Very low,?,Yes,Yes,–,,69,,65,,61,,59,,59,,52,,49,,50,,4,,7,,6,,4,,6,,6,,?,,?,,98,99,
,Belize,?,?,Yes,No,66,,36,,37,,81,,77,,79,,41,,57,,49,,4,,5,,5,,12,,8,,10,,?,,?,,44,52,
,Benin,Medium,?,Yes,Yes,26,,?,,?,,78,,70,,74,,73,,65,,70,,1,,4,,2,,2,,4,,3,,?,,?,,49,29,
,Bhutan,?,?,No,Yes,85,x,8,,3,,70,,75,,71,,60,,46,,56,,?,,?,,?,,?,,?,,?,,?,,?,,39,28,
,Bolivia (Plurinational State of),Low,?,No,Yes,50,,46,,39,,91,,76,,80,,77,,58,,64,,1,,5,,3,,1,,5,,4,,?,,?,,55,54,
,Bosnia and Herzegovina,Low,?,Yes,Yes,22,x,75,,51,,53,,53,,53,,27,,37,,31,,16,,19,,17,,21,,19,,20,,?,,?,,63,55,
,Botswana,?,?,No,No,–,,?,,?,,71,x,69,x,70,x,53,x,57,x,56,x,12,x,14,x,13,x,19,x,20,x,20,x,?,,?,,56,47,
,Brazil,Low,0.8,Yes,Yes,89,x,42,,46,,82,,77,,78,,55,,56,,56,,2,x,7,x,6,x,5,x,12,x,11,x,83,,84,,73,68,
,British Virgin Islands,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Brunei Darussalam,?,?,No,No,–,,?,,?,,68,,69,,69,,53,,58,,56,,9,,9,,9,,12,,9,,10,,99,,99,,?,?,
,Bulgaria,Low,1.0,Yes,Yes,–,,77,,74,,55,,65,,62,,38,,54,,49,,10,,4,,6,,9,,3,,5,,?,,?,,71,74,
,Burkina Faso,Medium,?,Yes,Yes,56,,4,,2,,77,,69,,75,,59,,55,,58,,3,,6,,4,,9,,9,,9,,?,,?,,51,35,
,Burundi,?,?,No,Yes,38,,5,,2,,79,,69,,78,,83,,55,,80,,1,,10,,2,,0,,10,,1,,16,,7,,8,7,
,Cabo Verde,?,0.7,No,Yes,73,x,20,,20,,66,,55,,63,,55,,36,,49,,31,,?,,31,,30,,?,,32,,75,,74,,?,?,
,Cambodia,Low,?,No,No,57,,47,,29,,89,,85,,88,,78,,70,,76,,1,,1,,1,,1,,1,,1,,?,,?,,22,22,
,Cameroon,Very high,0.4,Yes,Yes,47,,25,,11,,80,,74,,78,,74,,58,,67,,1,,6,,3,,1,,9,,4,,?,,?,,39,30,
,Canada,Very low,?,Yes,No,–,,83,,83,,67,,70,,70,,59,,62,,61,,6,,6,,6,,5,,6,,6,,?,,?,,100,100,
,Central African Republic,High,?,Yes,No,29,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,18,10,
,Chad,High,?,Yes,Yes,20,,10,x,2,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,29,15,
,Chile,Medium,0.8,Yes,Yes,–,,58,,56,,72,,70,,71,,42,,50,,49,,5,,7,,7,,7,,8,,8,,87,,97,,78,71,
,China,?,?,Yes,Yes,97,x,25,,19,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,84,76,
,Colombia,Very low,0.8,Yes,Yes,87,,46,,48,,86,,79,,80,,46,,60,,57,,3,,9,,7,,8,,12,,12,,72,,74,,49,42,
,Comoros,?,?,Yes,No,29,x,?,,?,,52,x,48,x,51,x,34,x,29,x,33,x,4,x,6,x,4,x,4,x,7,x,5,x,?,,?,,26,18,
,Congo,?,?,Yes,No,43,,?,,?,,77,x,64,x,69,x,80,x,58,x,67,x,6,x,27,x,18,x,7,x,34,x,21,x,?,,?,,31,21,
,Cook Islands,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Costa Rica,Low,0.6,Yes,No,89,x,37,,39,,75,,73,,74,,39,,49,,46,,7,,8,,8,,14,,12,,12,,87,,87,,75,61,
,Côte d'Ivoire,High,0.8,Yes,Yes,39,,15,,7,,77,,66,,66,,52,,46,,46,,1,,3,,3,,1,,4,,4,,81,,47,,47,36,
,Croatia,Very low,1.0,Yes,No,–,,79,,63,,56,,58,,57,,41,,48,,46,,8,,7,,8,,12,,8,,9,,?,,?,,90,83,
,Cuba,?,?,?,?,89,,58,,57,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Cyprus,Low,?,Yes,No,–,,73,,70,,63,,69,,68,,51,,59,,57,,9,,8,,8,,9,,9,,9,,100,,99,,87,90,
,Czechia,Very low,?,Yes,No,86,x,94,,86,,68,,69,,69,,52,,53,,53,,2,,2,,2,,3,,3,,3,,97,,97,,84,79,
,Democratic People's Republic of Korea,Low,?,?,?,90,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Democratic Republic of the Congo,Medium,?,Yes,Yes,19,,39,,17,,76,,61,,70,,75,,44,,63,,2,,11,,5,,1,,10,,4,,?,,?,,27,24,
,Denmark,Very low,0.9,Yes,Yes,–,,78,,79,,64,,69,,67,,55,,60,,58,,4,,5,,5,,4,,6,,5,,82,,83,,100,100,
,Djibouti,?,?,Yes,Yes,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,61,,52,,17,9,
,Dominica,?,?,No,No,–,,11,x,10,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Dominican Republic,Very low,0.9,Yes,Yes,82,,31,,38,,79,,76,,76,,40,,51,,49,,3,,5,,4,,5,,9,,8,,70,,69,,58,54,
,Ecuador,Low,?,No,Yes,79,x,43,,42,,85,,77,,79,,61,,52,,55,,1,,4,,3,,2,,6,,4,,59,,58,,60,43,
,Egypt,?,?,No,No,80,,?,,?,,68,,65,,67,,22,,22,,22,,7,,10,,8,,19,,29,,23,,99,,97,,39,27,
,El Salvador,Low,0.9,Yes,Yes,80,,31,,28,,82,,75,,77,,35,,52,,46,,4,,5,,5,,3,,4,,4,,81,,78,,38,24,
,Equatorial Guinea,?,?,No,Yes,21,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Eritrea,?,?,No,No,21,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Estonia,Very low,?,Yes,Yes,–,,84,,90,,67,,74,,71,,55,,59,,57,,5,,6,,5,,5,,5,,5,,?,,?,,98,98,
,Eswatini,?,?,No,No,83,,?,,?,,51,,71,,56,,42,,63,,47,,24,,15,,21,,26,,22,,24,,?,,?,,30,27,
,Ethiopia,Low,?,No,No,62,,13,,6,,88,,73,,85,,79,,61,,75,,?,,?,,?,,?,,?,,?,,?,,?,,41,29,
,Fiji,?,0.6,No,No,–,,39,x,40,x,82,,72,,77,,38,,39,,39,,2,,5,,4,,5,,6,,6,,?,,?,,?,?,
,Finland,Very low,1.0,Yes,Yes,–,,73,,75,,59,,65,,63,,53,,57,,56,,6,,8,,7,,7,,8,,7,,95,,103,,100,100,
,France,Very low,0.9,Yes,Yes,96,x,73,,67,,59,,61,,60,,52,,51,,52,,7,,10,,9,,8,,10,,9,,?,,?,,97,91,
,Gabon,High,?,Yes,No,44,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,64,54,
,Gambia,?,?,Yes,Yes,27,,?,,?,,67,,70,,69,,52,,49,,50,,4,,9,,7,,11,,14,,13,,?,,?,,?,?,
,Georgia,Low,?,Yes,No,53,x,94,,93,,82,,68,,75,,71,,49,,58,,6,,24,,15,,4,,21,,13,,89,,81,,58,64,
,Germany,Very low,1.0,Yes,No,–,,88,,79,,68,,67,,67,,57,,56,,56,,2,,4,,4,,2,,3,,3,,?,,?,,99,99,
,Ghana,Medium,?,No,No,46,,27,,15,,53,,64,,59,,50,,60,,55,,2,,6,,4,,2,,6,,4,,?,,?,,62,54,
,Greece,Low,1.0,Yes,Yes,–,,57,,52,,59,,61,,60,,41,,46,,44,,13,,16,,15,,20,,26,,24,,?,,?,,86,85,
,Grenada,?,?,No,No,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Guatemala,Low,0.6,No,Yes,66,,26,,27,,89,,81,,85,,30,,47,,39,,1,,3,,2,,3,,4,,4,,?,,?,,46,42,
,Guinea,Very high,?,Yes,No,22,,?,,?,,73,x,55,x,66,x,70,x,45,x,63,x,2,x,15,x,6,x,2,x,11,x,4,x,?,,?,,27,20,
,Guinea-Bissau,?,?,No,No,56,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Guyana,?,?,No,No,52,,29,x,33,x,68,,71,,69,,40,,52,,44,,10,,10,,10,,15,,15,,15,,?,,?,,?,?,
,Haiti,Medium,?,No,No,43,,?,,?,,80,,67,,74,,59,,49,,54,,5,,19,,11,,10,,22,,16,,?,,?,,35,30,
,Holy See,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Honduras,Low,?,No,No,76,x,23,,26,,92,,77,,84,,37,,52,,46,,1,,5,,3,,3,,7,,6,,?,,?,,50,41,
,Hungary,Low,?,Yes,Yes,–,,81,,72,,67,,65,,66,,49,,49,,49,,4,,3,,3,,4,,4,,4,,?,,?,,78,72,
,Iceland,?,?,Yes,Yes,–,,67,x,55,x,87,,85,,86,,79,,78,,78,,2,,3,,3,,1,,3,,3,,?,,?,,?,?,
,India,Medium,0.3,Yes,No,67,,34,,19,,80,,76,,79,,26,,18,,23,,2,,3,,2,,3,,7,,4,,?,,?,,83,77,
,Indonesia,High,?,No,Yes,78,,38,,30,,85,,79,,82,,55,,50,,52,,3,,6,,4,,3,,5,,4,,65,,54,,46,51,
,Iran (Islamic Republic of),Very high,?,Yes,Yes,69,x,48,,49,,66,,63,,64,,16,,15,,15,,?,,?,,?,,?,,?,,?,,77,,55,,96,92,
,Iraq,Very high,0.6,Yes,No,55,,34,,24,,74,,72,,72,,7,,13,,11,,6,,8,,7,,4,,16,,12,,83,,57,,26,20,
,Ireland,Very low,?,Yes,Yes,–,,68,,73,,67,,70,,69,,53,,58,,56,,5,,6,,6,,5,,6,,6,,83,,83,,95,95,
,Israel,?,?,Yes,No,–,,82,,81,,70,,68,,68,,64,,59,,60,,?,,?,,?,,?,,?,,?,,?,,?,,92,94,
,Italy,Very low,?,Yes,Yes,–,,50,,48,,59,,60,,59,,40,,41,,41,,9,,10,,10,,11,,12,,12,,93,,90,,96,92,
,Jamaica,Low,?,No,No,79,x,?,,?,,76,,71,,73,,59,,62,,61,,?,,?,,?,,?,,?,,?,,96,,97,,79,78,
,Japan,Low,?,Yes,No,–,,82,,79,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,90,,87,,98,98,
,Jordan,Very high,0.2,No,No,57,,43,,40,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,56,27,
,Kazakhstan,Low,?,Yes,No,79,,86,x,85,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,87,,87,,57,60,
,Kenya,Medium,0.9,No,Yes,76,,26,,18,,76,,80,,78,,74,,68,,71,,1,,5,,3,,1,,7,,3,,46,,44,,86,78,
,Kiribati,?,?,No,No,36,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Kuwait,?,?,No,No,–,,26,,36,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,83,73,
,Kyrgyzstan,Low,?,Yes,No,66,,90,x,87,x,75,,75,,75,,50,,43,,46,,2,,9,,4,,3,,8,,4,,?,,?,,41,39,
,Lao People's Democratic Republic,Low,?,Yes,Yes,72,,?,,?,,39,,59,,45,,30,,49,,37,,14,,7,,11,,11,,4,,8,,?,,?,,26,32,
,Latvia,Very low,?,Yes,Yes,–,,87,,91,,65,,70,,68,,52,,58,,56,,9,,8,,8,,8,,6,,6,,?,,?,,94,93,
,Lebanon,Very high,0.5,No,No,–,,33,x,33,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,57,33,
,Lesotho,Medium,?,No,No,79,,13,x,14,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,45,46,
,Liberia,High,?,Yes,No,41,,?,,?,,91,,75,,82,,84,,63,,72,,1,,7,,4,,1,,4,,2,,?,,?,,44,28,
,Libya,?,?,Yes,No,24,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,71,60,
,Liechtenstein,?,?,?,?,–,,81,x,63,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Lithuania,Very low,1.0,Yes,Yes,–,,89,,84,,64,,70,,68,,50,,60,,57,,10,,5,,7,,8,,4,,5,,97,,97,,85,81,
,Luxembourg,?,?,Yes,Yes,–,,83,,76,,61,,66,,64,,54,,57,,56,,4,,6,,5,,5,,7,,6,,?,,?,,99,98,
,Madagascar,High,0.4,Yes,No,61,,?,,?,,92,,80,,89,,87,,72,,84,,1,,5,,2,,1,,7,,2,,?,,?,,20,16,
,Malawi,High,?,No,No,74,,?,,?,,56,,75,,60,,47,,65,,50,,24,,13,,21,,37,,36,,37,,52,,33,,38,30,
,Malaysia,?,0.3,No,No,–,,58,,59,,83,,79,,80,,49,,56,,54,,?,,?,,?,,?,,?,,?,,97,,94,,88,82,
,Maldives,?,?,No,Yes,43,x,6,x,4,x,77,,80,,78,,46,,48,,47,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Mali,High,?,Yes,Yes,35,,8,,3,,84,,75,,81,,59,,46,,55,,1,,4,,1,,0,,4,,1,,?,,?,,45,26,
,Malta,Low,?,Yes,Yes,–,,39,,37,,70,,70,,70,,54,,49,,49,,5,,4,,4,,7,,4,,4,,?,,?,,98,97,
,Marshall Islands,?,?,No,No,81,x,72,,68,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Mauritania,?,?,Yes,No,30,,?,,?,,63,,63,,63,,29,,26,,28,,4,,14,,8,,5,,23,,12,,?,,?,,26,15,
,Mauritius,?,?,Yes,Yes,41,,48,,40,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,78,,71,,93,87,
,Mexico,Low,0.8,No,Yes,80,,34,,32,,81,,76,,77,,31,,47,,43,,2,,4,,3,,2,,4,,3,,73,,70,,41,33,
,Micronesia (Federated States of),?,?,No,No,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Monaco,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Mongolia,Low,?,Yes,No,65,,64,,71,,76,,60,,66,,67,,48,,54,,4,,9,,7,,4,,7,,6,,?,,?,,91,95,
,Montenegro,?,?,Yes,No,43,,80,,65,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,69,68,
,Montserrat,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Morocco,Very high,?,Yes,Yes,69,,?,,?,,80,,70,,74,,36,,18,,25,,?,,?,,?,,?,,?,,?,,92,,92,,41,17,
,Mozambique,Low,0.7,No,Yes,56,,11,,8,,84,,73,,80,,87,,62,,78,,1,,7,,3,,1,,12,,4,,?,,?,,51,33,
,Myanmar,High,?,Yes,Yes,75,,?,,?,,79,,72,,77,,49,,46,,48,,1,,2,,1,,2,,3,,2,,?,,?,,26,26,
,Namibia,Low,?,No,No,80,,19,x,16,x,54,,70,,63,,49,,61,,55,,16,,24,,21,,13,,22,,19,,?,,?,,81,81,
,Nauru,?,?,?,?,43,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Nepal,Medium,?,No,No,56,,25,,10,,48,,60,,54,,21,,32,,26,,12,,9,,10,,13,,13,,13,,?,,?,,50,42,
,Netherlands,Very low,1.0,Yes,Yes,–,,74,,66,,69,,70,,70,,58,,59,,59,,2,,4,,4,,3,,4,,4,,86,,82,,99,100,
,New Zealand,Very low,?,Yes,No,–,,72,,68,,81,,76,,76,,70,,65,,65,,?,,?,,?,,?,,?,,?,,?,,?,,99,99,
,Nicaragua,Very low,?,No,Yes,93,x,?,,?,,90,,78,,83,,35,,56,,48,,1,,6,,4,,5,,6,,6,,?,,?,,37,25,
,Niger,?,?,Yes,Yes,46,,5,,2,,90,,70,,86,,68,,40,,63,,0,,2,,1,,?,,3,,0,,77,,55,,20,11,
,Nigeria,High,0.3,No,No,43,,51,x,39,x,58,,54,,56,,48,,49,,49,,5,,8,,6,,4,,10,,7,,49,,32,,51,27,
,Niue,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,North Macedonia,?,?,Yes,Yes,22,x,?,,?,,72,,66,,67,,45,,42,,43,,17,,23,,21,,18,,21,,20,,?,,?,,80,73,
,Norway,Very low,?,Yes,No,–,,78,,77,,65,,68,,66,,59,,64,,62,,3,,5,,4,,3,,4,,4,,?,,?,,99,100,
,Oman,?,?,No,No,40,,45,,63,,81,,89,,88,,21,,33,,30,,?,,?,,?,,?,,?,,?,,94,,87,,84,64,
,Pakistan,Very high,0.0,No,No,49,,34,,21,,82,,78,,80,,28,,12,,22,,4,,5,,4,,3,,10,,5,,?,,?,,35,7,
,Palau,?,?,No,No,–,,88,,88,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
