,"TABLE 8 NUTRITION: PRESCHOOL/SCHOOL AGE CHILDREN, WOMEN AND HOUSEHOLDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,"Malnutrition among preschool-aged children 
(0–4 years of age) 
2013–2018*",,,,,,,,,,,,"Vitamin A supplement-ation, full
coveragea 
(%) 
2017",,"Malnutrition among school-aged children 
(5–19 years of age) 
2016",,,,"Malnutrition among women
2016 ",,,,"Percentage of households consuming iodized salt
2013–2018*",,,,,,,,,,,
,,"Stunted (%) 
(moderate and severe)",,,,,,Wasted (%),,,,Overweight (%) ,,,,Thinness (%) ,,Overweight (%),,Underweight 18+ years (%),,Anaemia 15–49 years (%),,,,,,,,,,,,,
,,all children,,poorest 20%,,richest 20%,,severe,,moderate and severe,,moderate and severe,,,,thin and severely thin,,overweight and obese,,"BMI
<18.5 kg/m2",,"mild, moderate and severe",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,41,,49,,31,,4,,10,,5,,95,f,17,,9,,16,,42,,57,,,,,,,,,,,
,Albania,11,,17,,9,,1,,2,,16,,–,,1,,25,,2,,25,,65,,,,,,,,,,,
,Algeria,12,,13,x,11,x,1,x,4,x,12,x,–,,6,,31,,4,,36,,81,,,,,,,,,,,
,Andorra,–,,–,,–,,–,,–,,–,,–,,1,,36,,1,,14,,–,,,,,,,,,,,
,Angola,38,,47,,20,,1,,5,,3,,3,f,8,,11,,11,,48,,82,,,,,,,,,,,
,Anguilla,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Antigua and Barbuda,–,,–,,–,,–,,–,,–,,–,,3,,27,,4,,22,,–,,,,,,,,,,,
,Argentina,8,x,–,,–,,<1,x,1,x,10,x,–,,1,,37,,1,,19,,–,,,,,,,,,,,
,Armenia,9,,12,,6,,2,,4,,14,,–,,2,,19,,3,,29,,99,,,,,,,,,,,
,Australia,2,x,–,,–,,<1,x,<1,x,8,x,–,,1,,34,,2,,9,,–,,,,,,,,,,,
,Austria,–,,–,,–,,–,,–,,–,,–,,2,,27,,3,,17,,–,,,,,,,,,,,
,Azerbaijan,18,,28,,16,,1,,3,,14,,41,"f,w",3,,19,,3,,38,,93,,,,,,,,,,,
,Bahamas,–,,–,,–,,–,,–,,–,,–,,3,,36,,3,,23,,–,,,,,,,,,,,
,Bahrain,–,,–,,–,,–,,–,,–,,–,,6,,35,,4,,42,,–,,,,,,,,,,,
,Bangladesh,36,,49,,20,,3,,14,,2,,99,f,18,,9,,22,,40,,68,,,,,,,,,,,
,Barbados,8,,8,x,3,x,2,x,7,x,12,x,–,,4,,28,,3,,22,,37,x,,,,,,,,,,
,Belarus,4,x,10,x,2,x,1,x,2,x,10,x,–,,2,,23,,2,,23,,–,,,,,,,,,,,
,Belgium,–,,–,,–,,–,,–,,–,,–,,1,,24,,2,,16,,–,,,,,,,,,,,
,Belize,15,,26,,5,,1,,2,,7,,–,,3,,29,,3,,22,,85,,,,,,,,,,,
,Benin,32,,46,,18,,1,,5,,2,,99,f,7,,11,,9,,47,,85,,,,,,,,,,,
,Bhutan,34,x,41,x,21,x,2,x,6,x,8,x,–,f,16,,10,,11,,36,,–,,,,,,,,,,,
,Bolivia (Plurinational State of),16,,32,"x,r",9,"x,r",1,,2,,10,,31,f,1,,28,,2,,30,,86,,,,,,,,,,,
,Bosnia and Herzegovina,9,,10,x,10,x,2,x,2,x,17,x,–,,2,,21,,2,,29,,–,,,,,,,,,,,
,Botswana,31,x,–,,–,,3,x,7,x,11,x,83,f,6,,18,,7,,30,,83,x,,,,,,,,,,
,Brazil,7,x,–,,–,,<1,x,2,x,6,x,–,,3,,28,,3,,27,,98,x,,,,,,,,,,
,British Virgin Islands,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Brunei Darussalam,20,x,–,,–,,<1,x,3,x,8,x,–,,6,,27,,6,,17,,–,,,,,,,,,,,
,Bulgaria,9,"w,x",–,,–,,1,"w,x",3,"w,x",14,"w,x",–,,2,,29,,2,,26,,92,"x,y",,,,,,,,,,
,Burkina Faso,21,,42,"x,r",19,"x,r",2,,9,,2,,0,f,8,,8,,13,,50,,92,x,,,,,,,,,,
,Burundi,56,,69,,31,,1,,5,,1,,79,f,7,,10,,12,,27,,89,,,,,,,,,,,
,Cabo Verde,–,,–,,–,,–,,–,,–,,–,,7,,12,,8,,33,,97,"x,y",,,,,,,,,,
,Cambodia,32,,42,,19,,2,,10,,2,,73,f,11,,11,,14,,47,,68,,,,,,,,,,,
,Cameroon,32,,42,,14,,1,,5,,7,,9,f,6,,13,,7,,41,,86,,,,,,,,,,,
,Canada,–,,–,,–,,–,,–,,10,"x,y",–,,1,,32,,2,,10,,–,,,,,,,,,,,
,Central African Republic,40,,45,x,30,x,2,x,8,x,2,x,0,f,8,,11,,13,,46,,84,x,,,,,,,,,,
,Chad,40,,41,,31,,4,,13,,3,,67,f,8,,9,,14,,48,,77,,,,,,,,,,,
,Chile,2,,–,,–,,–,,<1,,9,,–,,1,,35,,1,,15,,–,,,,,,,,,,,
,China,8,,–,,–,,1,x,2,,9,,–,,3,,29,,6,,26,,96,"b,y",,,,,,,,,,
,Colombia,13,x,19,x,6,x,<1,x,1,x,5,x,–,,2,,24,,3,,21,,–,,,,,,,,,,,
,Comoros,31,,39,x,24,x,4,x,11,x,11,x,21,f,7,,12,,9,,29,,82,x,,,,,,,,,,
,Congo,21,,30,,14,,3,,8,,6,,12,f,7,,11,,12,,52,,91,,,,,,,,,,,
,Cook Islands,–,,–,,–,,–,,–,,–,,–,,<1,,63,,<1,,–,,–,,,,,,,,,,,
,Costa Rica,6,x,–,,–,,–,,1,x,8,x,–,,2,,32,,2,,15,,–,,,,,,,,,,,
,Côte d'Ivoire,22,,30,,9,,1,,6,,1,,94,f,6,,13,,8,,53,,80,,,,,,,,,,,
,Croatia,–,,–,,–,,–,,–,,–,,–,,1,,28,,2,,27,,–,,,,,,,,,,,
,Cuba,7,x,–,,–,,–,,2,x,–,,–,,3,,30,,4,,25,,–,,,,,,,,,,,
,Cyprus,–,,–,,–,,–,,–,,–,,–,,1,,33,,2,,25,,–,,,,,,,,,,,
,Czechia,3,x,–,,–,,1,x,5,x,4,x,–,,2,,28,,1,,26,,–,,,,,,,,,,,
,Democratic People's Republic of Korea,19,,–,,–,,1,,3,,2,,90,f,5,,23,,8,,32,,–,,,,,,,,,,,
,Democratic Republic of the Congo,43,,49,,23,,3,,8,,4,,1,f,9,,10,,14,,41,,82,,,,,,,,,,,
,Denmark,–,,–,,–,,–,,–,,–,,–,,1,,25,,3,,16,,–,,,,,,,,,,,
,Djibouti,34,,41,x,23,x,9,x,22,x,8,x,–,f,6,,17,,8,,33,,4,x,,,,,,,,,,
,Dominica,–,,–,,–,,–,,–,,–,,–,,3,,33,,3,,24,,–,,,,,,,,,,,
,Dominican Republic,7,,12,,4,,1,,2,,8,,–,,3,,33,,4,,30,,30,x,,,,,,,,,,
,Ecuador,24,,37,"x,r",14,"x,r",1,,2,,8,,–,,1,,28,,2,,19,,–,,,,,,,,,,,
,Egypt,22,,25,,24,,5,,9,,16,,–,f,3,,37,,1,,29,,93,,,,,,,,,,,
,El Salvador,14,,24,,5,,<1,,2,,6,,–,,2,,30,,3,,23,,–,,,,,,,,,,,
,Equatorial Guinea,26,x,28,x,19,x,2,x,3,x,10,x,5,f,8,,11,,10,,44,,57,x,,,,,,,,,,
,Eritrea,52,x,59,x,29,x,4,x,15,x,2,x,–,"f,z",8,,11,,17,,38,,86,x,,,,,,,,,,
,Estonia,–,,–,,–,,–,,–,,–,,–,,2,,21,,2,,26,,–,,,,,,,,,,,
,Eswatini,26,,30,,9,,<1,,2,,9,,33,f,4,,17,,6,,27,,90,,,,,,,,,,,
,Ethiopia,38,,45,,26,,3,,10,,3,,77,f,10,,9,,15,,23,,86,,,,,,,,,,,
,Fiji,8,x,–,,–,,2,x,6,x,5,x,–,,4,,34,,2,,31,,–,,,,,,,,,,,
,Finland,–,,–,,–,,–,,–,,–,,–,,1,,27,,1,,16,,–,,,,,,,,,,,
,France,–,,–,,–,,–,,–,,–,,–,,1,,30,,3,,18,,–,,,,,,,,,,,
,Gabon,17,,31,x,6,x,1,x,3,x,8,x,0,f,6,,16,,7,,59,,89,x,,,,,,,,,,
,Gambia,25,,29,,15,,4,,11,,3,,32,f,7,,12,,10,,58,,69,,,,,,,,,,,
,Georgia,11,x,22,x,8,x,1,x,2,x,20,x,–,,3,,20,,3,,27,,>99,"x,y",,,,,,,,,,
,Germany,1,x,–,,–,,<1,x,1,x,4,x,–,,1,,26,,1,,16,,–,,,,,,,,,,,
,Ghana,19,,25,,8,,1,,5,,3,,50,f,6,,11,,7,,46,,64,,,,,,,,,,,
,Greece,–,,–,,–,,–,,–,,–,,–,,1,,37,,1,,16,,–,,,,,,,,,,,
,Grenada,–,,–,,–,,–,,–,,–,,–,,4,,26,,4,,23,,–,,,,,,,,,,,
,Guatemala,47,,66,,17,,<1,,1,,5,,26,"f,w",1,,29,,2,,16,,88,x,,,,,,,,,,
,Guinea,32,,39,,18,,3,,8,,4,,64,f,7,,10,,11,,51,,73,,,,,,,,,,,
,Guinea-Bissau,28,,31,,15,,1,,6,,2,,95,f,7,,11,,9,,44,,26,,,,,,,,,,,
,Guyana,11,,20,,7,,2,,6,,5,,–,,5,,25,,5,,32,,43,,,,,,,,,,,
,Haiti,22,,34,,9,,1,,4,,3,,17,f,4,,28,,6,,46,,8,,,,,,,,,,,
,Holy See,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Honduras,23,,42,x,8,x,<1,x,1,x,5,x,–,,2,,27,,3,,18,,–,,,,,,,,,,,
,Hungary,–,,–,,–,,–,,–,,–,,–,,2,,28,,2,,26,,–,,,,,,,,,,,
,Iceland,–,,–,,–,,–,,–,,–,,–,,1,,28,,2,,16,,–,,,,,,,,,,,
,India,38,,51,,22,,8,,21,,2,,–,"f,z",27,,7,,24,,51,,93,,,,,,,,,,,
,Indonesia,36,,48,,29,,7,,14,,12,,62,f,10,,15,,12,,29,,92,"b,y",,,,,,,,,,
,Iran (Islamic Republic of),7,x,–,,–,,1,x,4,x,–,,–,,9,,26,,4,,30,,–,,,,,,,,,,,
,Iraq,22,x,24,x,21,x,3,x,6,x,11,x,–,,5,,32,,3,,29,,68,,,,,,,,,,,
,Ireland,–,,–,,–,,–,,–,,–,,–,,<1,,31,,1,,15,,–,,,,,,,,,,,
,Israel,–,,–,,–,,–,,–,,–,,–,,1,,35,,1,,16,,–,,,,,,,,,,,
,Italy,–,,–,,–,,–,,–,,–,,–,,1,,37,,1,,17,,–,,,,,,,,,,,
,Jamaica,6,,–,,–,,1,,4,,8,,–,,2,,30,,4,,23,,–,,,,,,,,,,,
,Japan,7,x,–,,–,,<1,x,2,x,2,x,–,,2,,14,,10,,22,,–,,,,,,,,,,,
,Jordan,8,,14,x,2,x,1,x,2,x,5,x,–,,4,,31,,2,,35,,88,"b,x,y",,,,,,,,,,
,Kazakhstan,8,,10,,6,,1,,3,,9,,–,f,2,,20,,4,,31,,94,,,,,,,,,,,
,Kenya,26,,36,,14,,1,,4,,4,,44,f,8,,11,,10,,27,,95,,,,,,,,,,,
,Kiribati,–,,–,,–,,–,,–,,–,,37,f,<1,,55,,1,,26,,–,,,,,,,,,,,
,Kuwait,5,,–,,–,,1,,3,,6,"x,y",–,,4,,42,,1,,24,,–,,,,,,,,,,,
,Kyrgyzstan,13,,18,,11,,1,,3,,7,,–,f,3,,16,,4,,36,,99,,,,,,,,,,,
,Lao People's Democratic Republic,44,x,61,x,20,x,2,x,6,x,2,x,57,f,9,,14,,12,,40,,94,,,,,,,,,,,
,Latvia,–,,–,,–,,–,,–,,–,,–,,2,,22,,2,,25,,–,,,,,,,,,,,
,Lebanon,17,x,–,,–,,3,x,7,x,17,x,–,,5,,33,,3,,31,,95,x,,,,,,,,,,
,Lesotho,33,,46,,13,,1,,3,,7,,18,f,5,,15,,5,,27,,85,,,,,,,,,,,
,Liberia,32,,36,,20,,2,,6,,3,,97,f,7,,10,,8,,35,,91,,,,,,,,,,,
,Libya,21,x,–,,–,,3,x,7,x,22,x,–,,6,,33,,2,,33,,69,x,,,,,,,,,,
,Liechtenstein,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Lithuania,–,,–,,–,,–,,–,,–,,–,,3,,21,,1,,26,,–,,,,,,,,,,,
,Luxembourg,–,,–,,–,,–,,–,,–,,–,,1,,26,,2,,16,,–,,,,,,,,,,,
,Madagascar,49,,39,,47,,1,,8,,1,,87,f,7,,11,,15,,37,,68,x,,,,,,,,,,
,Malawi,37,,46,,25,,1,,3,,5,,91,f,6,,11,,9,,34,,78,,,,,,,,,,,
,Malaysia,21,,–,,–,,–,,12,,6,,–,,7,,27,,7,,25,,28,"x,y",,,,,,,,,,
,Maldives,19,x,22,x,15,x,3,x,11,x,6,x,69,f,14,,17,,9,,43,,97,x,,,,,,,,,,
,Mali,30,,41,,15,,3,,13,,2,,9,f,8,,11,,10,,51,,90,,,,,,,,,,,
,Malta,–,,–,,–,,–,,–,,–,,–,,1,,37,,1,,16,,–,,,,,,,,,,,
,Marshall Islands,35,,44,,20,,1,,4,,4,,–,f,<1,,59,,1,,27,,–,,,,,,,,,,,
,Mauritania,28,,36,,19,,4,,15,,1,,0,f,8,,13,,8,,37,,8,,,,,,,,,,,
,Mauritius,–,,–,,–,,–,,–,,–,,–,,7,,15,,7,,25,,–,,,,,,,,,,,
,Mexico,10,,16,,7,,<1,,2,,5,,–,f,2,,35,,2,,15,,–,,,,,,,,,,,
,Micronesia (Federated States of),–,,–,,–,,–,,–,,–,,–,f,<1,,51,,2,,23,,–,,,,,,,,,,,
,Monaco,–,,–,,–,,–,,–,,–,,–,,<1,,<1,,<1,,–,,–,,,,,,,,,,,
,Mongolia,7,,14,,3,,<1,,1,,12,,83,f,2,,18,,3,,19,,80,,,,,,,,,,,
,Montenegro,9,,5,,9,,1,,3,,22,,–,,2,,25,,2,,25,,–,,,,,,,,,,,
,Montserrat,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Morocco,15,x,28,x,7,x,1,x,2,x,11,x,99,"f,w",6,,27,,3,,37,,43,x,,,,,,,,,,
,Mozambique,43,x,51,x,24,x,2,x,6,x,8,x,61,f,4,,13,,10,,51,,42,x,,,,,,,,,,
,Myanmar,29,,38,,16,,1,,7,,2,,89,f,13,,12,,14,,46,,81,,,,,,,,,,,
,Namibia,23,,31,,9,,3,,7,,4,,27,f,8,,15,,9,,23,,74,,,,,,,,,,,
,Nauru,24,x,52,x,18,x,<1,x,1,x,3,x,–,,<1,,65,,<1,,–,,–,,,,,,,,,,,
,Nepal,36,,48,,18,,2,,10,,1,,81,f,16,,8,,17,,35,,94,,,,,,,,,,,
,Netherlands,–,,–,,–,,–,,–,,–,,–,,1,,25,,2,,16,,–,,,,,,,,,,,
,New Zealand,–,,–,,–,,–,,–,,–,,–,,<1,,40,,2,,12,,–,,,,,,,,,,,
,Nicaragua,17,,35,x,6,x,1,x,2,x,8,x,–,f,2,,29,,3,,16,,–,,,,,,,,,,,
,Niger,41,,47,"x,r",35,"x,r",2,,10,,1,,53,f,10,,8,,13,,49,,59,,,,,,,,,,,
,Nigeria,44,,63,,18,,3,,11,,2,,83,f,10,,8,,10,,50,,93,x,,,,,,,,,,
,Niue,–,,–,,–,,–,,–,,–,,–,,<1,,59,,1,,–,,–,,,,,,,,,,,
,North Macedonia,5,x,7,x,2,x,<1,x,2,x,12,x,–,,2,,26,,2,,23,,–,,,,,,,,,,,
,Norway,–,,–,,–,,–,,–,,–,,–,,1,,27,,2,,15,,–,,,,,,,,,,,
,Oman,14,,–,,–,,2,,8,,4,,–,,7,,32,,5,,38,,88,,,,,,,,,,,
,Pakistan,38,,56,,22,,2,,7,,3,,92,f,19,,10,,15,,52,,69,"x,y",,,,,,,,,,
,Palau,–,,–,,–,,–,,–,,–,,–,,<1,,64,,1,,–,,–,,,,,,,,,,,
,Panama,19,x,–,,–,,<1,x,1,x,10,x,–,,2,,29,,3,,23,,–,,,,,,,,,,,
,Papua New Guinea,49,x,–,,–,,6,x,14,x,14,x,–,f,1,,32,,3,,37,,60,x,,,,,,,,,,
,Paraguay,6,,12,,1,,<1,,1,,12,,–,,2,,28,,3,,23,,93,x,,,,,,,,,,
,Peru,13,,29,,5,,<1,,1,,8,,–,,1,,27,,2,,18,,89,,,,,,,,,,,
,Philippines,33,,49,,15,,2,x,7,,4,,–,f,10,,13,,14,,16,,52,y,,,,,,,,,,
,Poland,3,,–,,–,,–,,–,,–,,–,,2,,26,,2,,26,,–,,,,,,,,,,,
,Portugal,–,,–,,–,,–,,–,,–,,–,,1,,32,,1,,18,,–,,,,,,,,,,,
,Qatar,–,,–,,–,,–,,–,,–,,–,,5,,39,,2,,28,,–,,,,,,,,,,,
,Republic of Korea,3,x,–,,–,,<1,x,1,x,7,x,–,,1,,27,,5,,23,,–,,,,,,,,,,,
,Republic of Moldova,6,,11,x,3,x,<1,x,2,x,5,x,–,,3,,18,,2,,27,,58,x,,,,,,,,,,
,Romania,13,x,–,,–,,1,x,4,x,8,x,–,,3,,25,,2,,27,,–,,,,,,,,,,,
,Russian Federation,–,,–,,–,,–,,–,,–,,–,,2,,21,,2,,23,,–,,,,,,,,,,,
,Rwanda,37,w,49,,21,,<1,w,2,w,6,,98,f,6,,11,,8,,22,,90,,,,,,,,,,,
,Saint Kitts and Nevis,–,,–,,–,,–,,–,,–,,–,,4,,28,,3,,–,,–,,,,,,,,,,,
,Saint Lucia,2,,5,x,–,"x,p",1,x,4,x,6,x,–,,4,,23,,4,,22,,75,x,,,,,,,,,,
,Saint Vincent and the Grenadines,–,,–,,–,,–,,–,,–,,–,,3,,29,,4,,25,,–,,,,,,,,,,,
,Samoa,5,,6,,3,,1,,4,,5,,–,,<1,,53,,1,,31,,96,,,,,,,,,,,
,San Marino,–,,–,,–,,–,,–,,–,,–,,<1,,<1,,<1,,–,,–,,,,,,,,,,,
,Sao Tome and Principe,17,,25,,7,,1,,4,,2,,23,f,5,,13,,8,,46,,91,,,,,,,,,,,
,Saudi Arabia,9,x,–,,–,,5,x,12,x,6,x,–,,8,,36,,3,,43,,70,"x,y",,,,,,,,,,
,Senegal,17,,27,,6,,1,,9,,1,,58,f,9,,10,,11,,50,,62,,,,,,,,,,,
,Serbia,6,,14,,4,,1,,4,,14,,–,,2,,27,,2,,27,,–,,,,,,,,,,,
,Seychelles,8,,–,,–,,1,x,4,x,10,x,–,,6,,23,,5,,22,,–,,,,,,,,,,,
,Sierra Leone,38,,42,,29,,4,,9,,9,,98,f,7,,11,,10,,48,,85,,,,,,,,,,,
,Singapore,4,x,–,,–,,1,x,4,x,3,x,–,,2,,22,,8,,22,,–,,,,,,,,,,,
,Slovakia,–,,–,,–,,–,,–,,–,,–,,1,,23,,2,,27,,–,,,,,,,,,,,
,Slovenia,–,,–,,–,,–,,–,,–,,–,,1,,27,,2,,24,,–,,,,,,,,,,,
,Solomon Islands,32,,37,,25,,4,,8,,5,,–,,1,,23,,2,,39,,88,,,,,,,,,,,
,Somalia,25,x,52,x,25,x,5,x,15,x,3,x,11,f,7,,13,,10,,44,,7,x,,,,,,,,,,
,South Africa,27,,36,,13,,1,,2,,13,,47,f,5,,25,,3,,26,,91,,,,,,,,,,,
,South Sudan,31,x,31,x,27,x,12,x,24,x,6,x,51,f,<1,,<1,,<1,,34,,60,x,,,,,,,,,,
,Spain,–,,–,,–,,–,,–,,–,,–,,1,,34,,1,,17,,–,,,,,,,,,,,
,Sri Lanka,17,,25,,12,,3,,15,,2,,93,f,15,,13,,13,,33,,95,y,,,,,,,,,,
,State of Palestine,7,,7,,6,,<1,,1,,8,,–,,–,,–,,–,,–,,88,,,,,,,,,,,
,Sudan,38,,44,,21,,5,,17,,3,,20,f,<1,,<1,,<1,,31,,34,,,,,,,,,,,
,Suriname,9,x,13,x,6,x,2,x,6,x,4,x,–,,4,,31,,3,,24,,–,,,,,,,,,,,
,Sweden,–,,–,,–,,–,,–,,–,,–,,1,,24,,2,,15,,–,,,,,,,,,,,
,Switzerland,–,,–,,–,,–,,–,,–,,–,,<1,,22,,3,,18,,–,,,,,,,,,,,
,Syrian Arab Republic,28,x,33,x,22,x,5,x,12,x,18,x,91,f,6,,28,,3,,34,,65,x,,,,,,,,,,
,Tajikistan,18,,22,,17,,2,,6,,3,,–,,4,,15,,5,,31,,91,,,,,,,,,,,
,Thailand,11,,13,,12,,1,,5,,8,,–,,8,,22,,8,,32,,85,,,,,,,,,,,
,Timor-Leste,51,,59,,39,,2,,11,,1,,66,f,11,,13,,19,,41,,83,,,,,,,,,,,
,Togo,28,,33,,11,,1,,7,,2,,87,f,6,,10,,9,,49,,77,,,,,,,,,,,
,Tokelau,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Tonga,8,,7,x,10,x,2,x,5,x,17,x,–,,<1,,58,,<1,,21,,–,,,,,,,,,,,
,Trinidad and Tobago,9,x,9,x,15,x,2,x,6,x,11,x,–,,6,,25,,3,,24,,63,x,,,,,,,,,,
,Tunisia,10,,16,x,8,x,2,x,3,x,14,x,–,,7,,25,,3,,31,,–,,,,,,,,,,,
,Turkey,10,,19,,5,,<1,,2,,11,,–,,5,,30,,2,,31,,85,x,,,,,,,,,,
,Turkmenistan,11,,16,,11,,1,,4,,6,,–,f,3,,18,,4,,33,,>99,,,,,,,,,,,
,Turks and Caicos Islands,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Tuvalu,10,x,8,x,13,x,1,x,3,x,6,x,–,,<1,,58,,1,,–,,–,,,,,,,,,,,
,Uganda,29,,32,,17,,1,,3,,4,,27,f,6,,10,,10,,29,,91,,,,,,,,,,,
,Ukraine,23,x,–,,–,,4,x,8,x,27,x,–,,2,,21,,2,,24,,36,x,,,,,,,,,,
,United Arab Emirates,–,,–,,–,,–,,–,,–,,–,,5,,36,,3,,28,,–,,,,,,,,,,,
,United Kingdom,–,,–,,–,,–,,–,,–,,–,,1,,31,,2,,15,,–,,,,,,,,,,,
,United Republic of Tanzania,34,,40,,19,,1,,5,,4,,87,f,7,,12,,10,,37,,76,,,,,,,,,,,
,United States,4,,–,,–,,<1,x,<1,,9,,–,,1,,42,,2,,13,,–,,,,,,,,,,,
,Uruguay,11,x,–,,–,,<1,x,1,x,7,x,–,,2,,33,,1,,21,,–,,,,,,,,,,,
,Uzbekistan,20,x,21,x,16,x,2,x,4,x,12,x,99,f,3,,17,,4,,36,,82,x,,,,,,,,,,
,Vanuatu,29,,39,,16,,1,,4,,5,,–,,2,,31,,3,,24,,63,,,,,,,,,,,
,Venezuela (Bolivarian Republic of),13,x,–,,–,,–,,4,x,6,x,–,,2,,34,,2,,24,,–,,,,,,,,,,,
,Viet Nam,25,,41,"x,r",6,"x,r",1,,6,,5,,99,"f,w",14,,10,,18,,24,,61,x,,,,,,,,,,
,Yemen,46,,59,,26,,5,,16,,2,,–,f,14,,20,,9,,70,,49,,,,,,,,,,,
,Zambia,40,,47,,28,,2,,6,,6,,99,f,6,,13,,9,,34,,88,,,,,,,,,,,
,Zimbabwe,27,,33,,17,,1,,3,,6,,43,f,6,,15,,6,,29,,93,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asia and Pacific,8,,44,q,22,q,1,,3,,6,,74,,6,,23,,8,,27,,92,,,,,,,,,,,
,Europe and Central Asia,,,–,,–,,–,,–,,–,,–,,2,,26,,2,,23,,–,,,,,,,,,,,
,Eastern Europe and Central Asia,9,e,18,q,8,q,1,e,2,e,15,e,–,,3,,23,,2,,28,,–,,,,,,,,,,,
,Western Europe,,,–,,–,,–,,–,,–,,–,,1,,30,,2,,18,,–,,,,,,,,,,,
,Latin America and Caribbean,9,,24,q,7,q,<1,,1,,7,,–,,2,,30,,3,,22,,–,,,,,,,,,,,
,Middle East and North Africa,15,,–,,–,,3,,8,,11,,–,,6,,31,,3,,34,,–,,,,,,,,,,,
,North America,3,d,–,,–,,<1,d,<1,d,9,d,–,,1,,41,,2,,13,,–,,,,,,,,,,,
,South Asia,34,,51,,22,,5,,15,,3,,66,,25,,8,,23,,50,,89,,,,,,,,,,,
,Sub-Saharan Africa,33,,46,,20,,2,,8,,4,,55,,7,,10,,10,,39,,80,,,,,,,,,,,
